包厢开台分析2025-12-01 10:00:00至2025-12-03 10:00:00(空境·派对KTV（万象城店）),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包厢名称,包厢类型,区域名称,开台单号,开房计费模式,开房时间,关房时间,清洁时间,营业日,订房人,订房人部门,返房人,轮房人,商秘/外联,消费时长,时段,开房标签,预订渠道,账单备注,账单合计,应收金额,实收金额,赠送,抹零金额,调整金额,挂账金额,免单金额,房费折扣金额,酒水折扣金额,基本业绩,低消费,低消差额,计入低消金额,不计入低消金额,特饮金额,销售经理,营销经理,支付方式,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信支付,支付宝,会员支付,会员本金,会员赠送,现金,银行卡,服务员收款,员工信用扣款,付呗,店长签单,演绎提成,营销提成,过期取酒,美团,抖音,招待,扫码,会员停用,三倍储值活动,定金消费,高德
K18,电音小包,KTV区,Z-KT25120200024,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 19:22:38,2025-12-02 22:26:00,,2025-12-02,,,,,,183,黄金档,,,,295,295,295,0,0,0,0,0,0,0,295,0,0,30,0,0,,,112,,,,,,,,,,,,,,183,,,,,,,
K17,电音小包,KTV区,Z-KT25120200023,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 19:12:17,2025-12-02 22:04:25,,2025-12-02,,,,,,172,黄金档,,,,183,183,183,0,0,0,0,0,0,0,183,0,0,30,0,0,,,,,,,,,,,,,,,,,183,,,,,,,
K07,电音中包,KTV区,Z-KT25120200021,线上黄金档3H纯唱（18:00—04:30）,2025-12-02 17:52:32,2025-12-02 21:24:32,2025-12-02 21:04:49,2025-12-02,,,,,,212,整档,,,,380,380,380,0,0,0,0,0,0,0,380,0,0,30,0,0,,,167,,,,,,,,,,,,,,213,,,,,,,
K13,电音大包,KTV区,Z-KT25120200020,线上5H酒水套餐（10:00—18:00）,2025-12-02 15:06:15,2025-12-02 17:33:06,2025-12-02 17:33:04,2025-12-02,,,,,,146,白天档,,,换[虚拟中包]->[K13],293,293,293,0,0,0,0,0,0,0,0,0,0,293,0,0,,,,,,,,0,,,,,,,,,293,,,,,,,
K01,电音中包,KTV区,Z-KT25120200019,线上5H纯唱（10:00—18:00）,2025-12-02 14:34:29,2025-12-02 19:15:59,2025-12-02 18:30:13,2025-12-02,,,,,,281,白天档,,,,113,113,93,0,0,0,0,0,0,0,93,0,0,,,,,,,,,,,,,,,,20,,,,93,,,,,,,
K16,电音大包,KTV区,Z-KT25120200017,线上5H纯唱（10:00—18:00）,2025-12-02 14:32:40,2025-12-02 19:26:42,2025-12-02 18:30:13,2025-12-02,,,,,,294,白天档,,,换[K01]->[K16],193,193,193,0,0,0,0,0,0,0,193,0,0,,,,,,,,,,,,,80,,,,,,,113,,,,,,,
K20,电音小包,KTV区,Z-KT25120200018,白天档会员活动5H,2025-12-02 14:31:40,2025-12-02 19:29:34,2025-12-02 18:30:13,2025-12-02,,,,,,297,白天档,,,,70,70,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,70,70,0,,,,,,,,,,,,,,,,,
JJJ,派对包,派对包,Z-KT25120200016,白天档会员活动5H,2025-12-02 14:17:43,2025-12-02 19:26:48,2025-12-02 18:30:13,2025-12-02,,,,,,309,白天档,,,,230,230,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,230,230,0,,,,,,,,,,,,,,,,,
K11,电音小包,KTV区,Z-KT25120200015,白天档会员活动5H,2025-12-02 13:32:44,2025-12-02 17:51:13,,2025-12-02,,,,,,258,白天档,,,,70,70,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,70,49.4,20.6,,,,,,,,,,,,,,,,,
K02,电音中包,KTV区,Z-KT25120200014,白天档会员活动5H,2025-12-02 13:11:45,2025-12-02 17:54:31,,2025-12-02,,,,,,282,白天档,,,,80,80,0,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,80,54.7,25.3,0,,,,,,,,,,,,,,,,
K19,电音大包,KTV区,Z-KT25120200012,白天档会员活动5H,2025-12-02 13:10:54,2025-12-02 19:26:51,2025-12-02 18:30:13,2025-12-02,,,,,,375,白天档,,,,150,150,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,150,110.6,39.4,,,,,,,,,,,,,,,,,
KKK,派对包,派对包,Z-KT25120200011,白天档会员活动5H,2025-12-02 13:06:59,2025-12-02 19:26:53,2025-12-02 18:30:13,2025-12-02,,,,,,379,白天档,,,,230,230,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,230,230,0,,,,,,,,,,,,,,,,,
K03,电音中包,KTV区,Z-KT25120200010,白天档会员活动5H,2025-12-02 13:04:11,2025-12-02 19:16:02,2025-12-02 18:30:13,2025-12-02,,,,,,371,白天档,,,,80,80,0,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,80,80,0,0,,,,,,,,,,,,,,,,
K08,电音中包,KTV区,Z-KT25120200008,白天档会员活动5H,2025-12-02 12:56:41,2025-12-02 19:08:43,2025-12-02 18:28:10,2025-12-02,,,,,,372,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,80,0,,,,,,,,,,,,,,,,,
K09,电音中包,KTV区,Z-KT25120200007,白天档会员活动5H,2025-12-02 12:56:26,2025-12-02 19:15:01,2025-12-02 18:27:08,2025-12-02,,,,,,378,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,80,0,,,,,,,,,,,,,,,,,
K10,电音大包,KTV区,Z-KT25120200006,白天档会员活动5H,2025-12-02 12:47:34,2025-12-02 19:16:04,2025-12-02 18:19:56,2025-12-02,,,,,,388,白天档,,,,150,150,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,150,100,50,,,,,,,,,,,,,,,,,
K05,电音中包,KTV区,Z-KT25120200005,白天档会员活动5H,2025-12-02 12:30:15,2025-12-02 17:54:34,,2025-12-02,,,,,,324,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,58.5,21.5,,,,,,,,,,,,,,,,,
K07,电音中包,KTV区,Z-KT25120200004,白天档会员活动5H,2025-12-02 12:29:11,2025-12-02 17:33:00,2025-12-02 16:56:03,2025-12-02,,,,,,303,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,62.4,17.6,,,,,,,,,,,,,,,,,
K06,电音中包,KTV区,Z-KT25120200003,白天档会员活动5H,2025-12-02 12:02:03,2025-12-02 17:50:57,2025-12-02 17:33:09,2025-12-02,,,,,,348,白天档,,,,80,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,80,59.2,20.8,,,,,,,,,,,,,,,,,
K18,电音小包,KTV区,Z-KT25120200002,线上5H纯唱（10:00—18:00）,2025-12-02 11:40:34,2025-12-02 16:43:50,,2025-12-02,,,,,,303,白天档,,,换[K20]->[K18],93,93,93,38,0,0,0,0,0,0,93,0,0,0,0,0,,,,,,,,0,,,,,,,,,93,,,,,,,
K17,电音小包,KTV区,Z-KT25120200001,白天档会员活动5H,2025-12-02 10:56:24,2025-12-02 16:16:06,,2025-12-02,,,,,,319,白天档,,,,70,70,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,70,58.2,11.8,,,,,,,,,,,,,,,,,
K18,电音小包,KTV区,Z-KT25120100044,线上午夜档5H纯唱（23:00—04:30）,2025-12-02 01:24:24,2025-12-02 04:34:25,,2025-12-01,,,,,,190,黄金档,,,,133,133,133,0,0,0,0,0,0,0,133,0,0,0,0,0,,,,,,,,,,,,,0,,,,133,,,,,,,
